Kamenolom
Oblá
Nemocnice u sv. Anny
Jugoslávská
Výstaviště - vstup G2
Preslova
Tvrdého
Klusáčkova
Vlárská
Vlčnovská
Čtvrtě
Technologický park
Čtvery hony
Štefánikova čtvrť
Halasovo náměstí
Libušino údolí
Tkalcovská
Krematorium
Záhřebská
Kroměřížská
Stránská skála - smyčka
Mikulčická
Laštůvkova
Šilingrovo náměstí
Anthropos
Geislerova
Semilasso
Moravanské lány
Olomoucká - u školy
Technické muzeum
Bílá hora
Stránského
Židenice
Juliánov
Lísky
Křehlíkova
Kluchova
Osová
Řezáčova
Bzenecká
Merhautova
Prušánecká
Filipova
Smetanova
Křídlovická
Stará osada
Talichova
Králova
Životského
Ořechovská
Úzká
Makovského náměstí
Brněnky
Lipová
Bořetická
Obřanská - u školy
Sušilova
Šumavská
Masná
Náměstí 28. října
Tylova
Lesnická
Voříškova
Dělnický dům
Královo Pole
Otakara Ševčíka
Železniční
Vsetínská
Ústřední hřbitov
Moravanská
Dobrovského
Grohova
Kampelíkova
Kotlanova
Pálavské náměstí
Hviezdoslavova
Vozovna Slatina
Tererova
Dunajská
Podveská
Bělohorská
Údolíček
Jungmannova
Antonína Procházky
Rotreklova
Stránská skála
Neumannova
Skácelova
Hlavní
Stamicova
Nerudova
Zimní stadion
Mutěnická
Přemyslovo náměstí
Malinovského náměstí
Konečného náměstí
Burianovo náměstí
Pisárky
Slatina
Červinkova
Černého
Spáčilova
Proškovo náměstí
Univerzitní kampus
Zahradníkova
Nemocnice Bohunice
Vojenská nemocnice
Náměstí Svobody
Glinkova
Kartouzská
Libušina třída
Švermova
Srbská
Kamenný vrch
Pod nemocnicí
Hudcova
Mozolky
Celní
Zdráhalova
Černovičky
Vaňkovo náměstí
Antonínská
Barvičova
Marie Pujmanové
Autobusové nádraží
Hluboká
Heinrichova
Ústřední hřbitov - smyčka
Štursova
Zelný trh
Obřanský most
Komenského náměstí
Konopná
Maloměřický most
Svatoplukova
Líšeňská
Bieblova
Pavlovská
Soukenická
Koniklecová
Vondrákova
Akátky
Masarova
Venhudova
Náměstí Republiky
Vychodilova
Novolíšeňská
Židovský hřbitov
Vozovna Husovice
Bohunická
Žlutý kopec
Svratecká
Branka
Tábor
Olbrachtovo náměstí
Nové sady - smyčka
Česká
Úvoz
Trávníčkova
Langrova
Pionýrská
Zoologická zahrada
Bráfova
Hlavní nádraží
Hrnčířská
Raisova
Tomkovo náměstí
Modřická cihelna
Buzkova
Vrázova
Tomanova
Uherský Brod
Čejkovická
Krásného
Všetičkova
Nemocnice Milosrdných bratří
Körnerova
Kořískova
Kristenova
Vozovna Komín
Provazníkova
Podstránská
Vozovna Medlánky
Krejčího
Chaloupky
Mendlovo náměstí
Šelepova
Starý Lískovec
Zemědělská
Rybkova
Nové sady
Cacovická
Pavlíkova
Poříčí
Moravské náměstí
Kuldova
Řípská
Běloruská
Bellova
Čápkova
Ondrouškova
Jindřichova
Spojovací
Charvatská
Rakovecká
Lesní
Mifkova
Soukopova
Hybešova
Komárov
Obilní trh
Hutařova
Jírovcova
Mostecká
Náměstí Míru
Přívrat
Husitská
Václavská
Podlesí
Filkukova
Vojtova
Rosického náměstí
Jírova
Náměstí 28. dubna
Kubíčkova
Ečerova
Botanická
Slovanské náměstí
Výstaviště - hlavní vstup
Vlhká
Borodinova
Dětská nemocnice
Tržní
Přístaviště
Komín
Řečkovice
Bartákova
Náměstí Svornosti
Staré letiště
Babická
Čertova rokle
Fügnerova
